step,mae,rmse,r2
1,61.979955268074875,88.07030004627192,0.9236970048520986
2,76.32801615105265,115.7884011564528,0.8680321695185145
3,78.56664719609111,120.58004172988869,0.8567029564995565
4,81.78945361560767,127.88513737702212,0.8386472623835248
5,66.90366730454954,97.11262657751621,0.9068947120145457
6,63.471884603552844,86.46202835170439,0.9262326016535192
7,62.42572415697845,86.73871405018419,0.9259647129284603
8,69.14614580566378,95.06537515063074,0.9112318825016834
9,82.0865673384004,119.01853264013658,0.8604554565433541
10,83.18677914639706,120.97794735892433,0.8555925870958612
11,88.11345062482287,133.53536898529057,0.8237835582168993
12,75.67113496275888,107.72666662599829,0.8851355370599603
13,69.36921241262644,95.26575258793034,0.9103425815783039
14,68.7113888925606,95.96997371744808,0.9096000481420171
